,NAV Date,NAV Price
0,02/04/2024,0.2132
1,01/04/2024,0.21
2,29/03/2024,0.2096
3,27/03/2024,0.2078
4,26/03/2024,0.2094
5,25/03/2024,0.2072
6,22/03/2024,0.2076
7,21/03/2024,0.2096
8,20/03/2024,0.2071
9,19/03/2024,0.2057
10,18/03/2024,0.2058
11,15/03/2024,0.2043
12,14/03/2024,0.2057
13,13/03/2024,0.2051
14,12/03/2024,0.204
15,11/03/2024,0.2026
16,08/03/2024,0.2019
17,07/03/2024,0.1994
18,06/03/2024,0.1991
19,05/03/2024,0.1975
20,04/03/2024,0.1983
21,01/03/2024,0.1968
22,29/02/2024,0.1971
23,28/02/2024,0.1995
24,27/02/2024,0.2019
25,26/02/2024,0.2
26,23/02/2024,0.1991
27,22/02/2024,0.1984
28,21/02/2024,0.1955
29,20/02/2024,0.195
30,19/02/2024,0.1943
31,16/02/2024,0.1935
32,15/02/2024,0.1918
33,14/02/2024,0.1905
34,13/02/2024,0.1887
35,09/02/2024,0.187
36,08/02/2024,0.1879
37,07/02/2024,0.1879
38,06/02/2024,0.1892
39,05/02/2024,0.1844
40,02/02/2024,0.1839
41,31/01/2024,0.1853
42,30/01/2024,0.1857
43,29/01/2024,0.189
44,26/01/2024,0.1899
45,24/01/2024,0.1899
46,23/01/2024,0.1852
47,22/01/2024,0.1836
48,19/01/2024,0.1849
49,18/01/2024,0.1825
50,17/01/2024,0.1819
51,16/01/2024,0.185
52,15/01/2024,0.1876
53,12/01/2024,0.1879
54,11/01/2024,0.1875
55,10/01/2024,0.187
56,09/01/2024,0.1878
57,08/01/2024,0.1881
58,05/01/2024,0.189
59,04/01/2024,0.1889
60,03/01/2024,0.1878
61,02/01/2024,0.1868
62,29/12/2023,0.1876
63,28/12/2023,0.188
64,27/12/2023,0.1862
65,26/12/2023,0.1847
66,22/12/2023,0.1836
67,21/12/2023,0.1855
68,20/12/2023,0.1849
69,19/12/2023,0.1861
70,18/12/2023,0.1868
71,15/12/2023,0.1874
72,14/12/2023,0.1854
73,13/12/2023,0.1842
74,12/12/2023,0.1839
75,11/12/2023,0.1832
76,08/12/2023,0.1834
77,07/12/2023,0.1834
78,06/12/2023,0.1846
79,05/12/2023,0.1838
80,04/12/2023,0.1854
81,01/12/2023,0.1869
82,30/11/2023,0.1875
83,29/11/2023,0.1874
84,28/11/2023,0.1884
85,27/11/2023,0.1897
86,24/11/2023,0.1901
87,23/11/2023,0.1915
88,22/11/2023,0.1906
89,21/11/2023,0.191
90,20/11/2023,0.1902
91,17/11/2023,0.1885
92,16/11/2023,0.1909
93,15/11/2023,0.1923
94,14/11/2023,0.1892
95,10/11/2023,0.187
96,09/11/2023,0.1885
97,08/11/2023,0.1878
98,07/11/2023,0.1889
99,06/11/2023,0.1895
0,03/11/2023,0.1888
1,02/11/2023,0.1862
2,01/11/2023,0.1847
