,NAV Date,NAV Price
0,04/04/2024,0.2759
1,03/04/2024,0.2755
2,02/04/2024,0.2716
3,01/04/2024,0.2705
4,29/03/2024,0.271
5,27/03/2024,0.2726
6,26/03/2024,0.2729
7,25/03/2024,0.2698
8,22/03/2024,0.2678
9,21/03/2024,0.2679
10,20/03/2024,0.2653
11,19/03/2024,0.2634
12,18/03/2024,0.2629
13,15/03/2024,0.2607
14,14/03/2024,0.26
15,13/03/2024,0.2594
16,12/03/2024,0.2579
17,11/03/2024,0.2594
18,08/03/2024,0.2588
19,07/03/2024,0.2549
20,06/03/2024,0.2543
21,05/03/2024,0.2552
22,04/03/2024,0.2574
23,01/03/2024,0.2571
24,29/02/2024,0.2561
25,28/02/2024,0.2588
26,27/02/2024,0.2612
27,26/02/2024,0.2578
28,23/02/2024,0.2558
29,22/02/2024,0.255
30,21/02/2024,0.2543
31,20/02/2024,0.2556
32,19/02/2024,0.2517
33,16/02/2024,0.2512
34,15/02/2024,0.2505
35,14/02/2024,0.2487
36,13/02/2024,0.2498
37,09/02/2024,0.2485
38,08/02/2024,0.2485
39,07/02/2024,0.2475
40,06/02/2024,0.247
41,05/02/2024,0.2464
42,02/02/2024,0.2474
43,31/01/2024,0.2495
44,30/01/2024,0.2486
45,29/01/2024,0.2517
46,26/01/2024,0.2509
47,24/01/2024,0.249
48,23/01/2024,0.2427
49,22/01/2024,0.2433
50,19/01/2024,0.2415
51,18/01/2024,0.2405
52,17/01/2024,0.2412
53,16/01/2024,0.2414
54,15/01/2024,0.2424
55,12/01/2024,0.2425
56,11/01/2024,0.2411
57,10/01/2024,0.242
58,09/01/2024,0.2413
59,08/01/2024,0.2402
60,05/01/2024,0.241
61,04/01/2024,0.2397
62,03/01/2024,0.2357
63,02/01/2024,0.2331
64,29/12/2023,0.2326
65,28/12/2023,0.2335
66,27/12/2023,0.2331
67,26/12/2023,0.233
68,22/12/2023,0.2328
69,21/12/2023,0.2326
70,20/12/2023,0.2317
71,19/12/2023,0.2324
72,18/12/2023,0.2325
73,15/12/2023,0.2322
74,14/12/2023,0.2304
75,13/12/2023,0.2287
76,12/12/2023,0.2274
77,11/12/2023,0.2279
78,08/12/2023,0.227
79,07/12/2023,0.2258
80,06/12/2023,0.2283
81,05/12/2023,0.2281
82,04/12/2023,0.228
83,01/12/2023,0.2283
84,30/11/2023,0.2285
85,29/11/2023,0.2273
86,28/11/2023,0.2269
87,27/11/2023,0.2281
88,24/11/2023,0.2277
89,23/11/2023,0.2281
90,22/11/2023,0.2278
91,21/11/2023,0.2278
92,20/11/2023,0.2264
93,17/11/2023,0.2268
94,16/11/2023,0.2273
95,15/11/2023,0.2276
96,14/11/2023,0.2252
97,10/11/2023,0.225
98,09/11/2023,0.2258
99,08/11/2023,0.2238
0,07/11/2023,0.2234
1,06/11/2023,0.2236
2,03/11/2023,0.2228
3,02/11/2023,0.2213
4,01/11/2023,0.22
5,31/10/2023,0.2213
6,30/10/2023,0.2216
7,27/10/2023,0.2223
8,26/10/2023,0.2212
9,25/10/2023,0.2214
10,24/10/2023,0.2215
11,23/10/2023,0.2196
12,20/10/2023,0.2213
13,19/10/2023,0.2215
14,18/10/2023,0.2216
15,17/10/2023,0.2224
16,16/10/2023,0.2225
17,13/10/2023,0.2234
18,12/10/2023,0.2243
19,11/10/2023,0.224
20,10/10/2023,0.2218
21,09/10/2023,0.2214
22,06/10/2023,0.221
23,05/10/2023,0.2198
24,04/10/2023,0.2207
25,03/10/2023,0.222
26,02/10/2023,0.2228
27,29/09/2023,0.2235
28,27/09/2023,0.2243
29,26/09/2023,0.2251
30,25/09/2023,0.2257
31,22/09/2023,0.2265
32,21/09/2023,0.2254
33,20/09/2023,0.2259
34,19/09/2023,0.226
35,18/09/2023,0.2249
36,15/09/2023,0.226
37,14/09/2023,0.2238
38,13/09/2023,0.2217
39,12/09/2023,0.2193
40,11/09/2023,0.22
41,08/09/2023,0.2195
42,07/09/2023,0.2202
43,06/09/2023,0.2207
44,05/09/2023,0.2194
45,04/09/2023,0.2217
46,01/09/2023,0.2211
47,30/08/2023,0.2193
48,29/08/2023,0.2185
49,28/08/2023,0.2178
50,25/08/2023,0.2162
51,24/08/2023,0.2175
52,23/08/2023,0.2183
53,22/08/2023,0.2167
54,18/08/2023,0.2171
55,17/08/2023,0.2149
56,16/08/2023,0.2163
57,15/08/2023,0.2162
58,14/08/2023,0.2146
59,11/08/2023,0.2132
60,10/08/2023,0.2124
61,09/08/2023,0.2121
62,08/08/2023,0.2106
63,07/08/2023,0.2099
64,04/08/2023,0.2104
65,03/08/2023,0.2104
66,02/08/2023,0.2106
67,01/08/2023,0.2126
68,31/07/2023,0.2133
69,28/07/2023,0.2121
70,27/07/2023,0.2125
71,26/07/2023,0.2117
72,25/07/2023,0.2118
73,24/07/2023,0.2104
74,21/07/2023,0.2098
75,20/07/2023,0.2105
76,18/07/2023,0.2119
77,17/07/2023,0.2133
78,14/07/2023,0.214
79,13/07/2023,0.212
80,12/07/2023,0.2099
81,11/07/2023,0.2083
82,10/07/2023,0.208
83,07/07/2023,0.2066
84,06/07/2023,0.2068
85,05/07/2023,0.2063
86,04/07/2023,0.2063
87,03/07/2023,0.2055
88,30/06/2023,0.2037
89,28/06/2023,0.2045
90,27/06/2023,0.2048
91,26/06/2023,0.204
92,23/06/2023,0.2036
93,22/06/2023,0.2121
94,21/06/2023,0.2108
95,20/06/2023,0.2105
96,19/06/2023,0.2119
97,16/06/2023,0.2132
98,15/06/2023,0.2129
99,14/06/2023,0.2142
0,13/06/2023,0.2123
1,12/06/2023,0.2112
2,09/06/2023,0.2106
3,08/06/2023,0.2093
4,07/06/2023,0.2102
5,06/06/2023,0.2106
6,02/06/2023,0.2111
7,01/06/2023,0.2099
8,31/05/2023,0.2113
9,30/05/2023,0.2114
10,29/05/2023,0.2124
11,26/05/2023,0.2104
12,25/05/2023,0.2108
13,24/05/2023,0.2117
14,23/05/2023,0.212
15,22/05/2023,0.2134
16,19/05/2023,0.2135
17,18/05/2023,0.2157
18,17/05/2023,0.2149
19,16/05/2023,0.213
20,15/05/2023,0.2124
21,12/05/2023,0.2137
22,11/05/2023,0.2132
23,10/05/2023,0.2137
24,09/05/2023,0.214
25,08/05/2023,0.2161
26,05/05/2023,0.2157
27,03/05/2023,0.2159
28,02/05/2023,0.218
29,28/04/2023,0.2176
30,27/04/2023,0.2181
31,26/04/2023,0.2181
32,25/04/2023,0.2184
33,20/04/2023,0.219
34,19/04/2023,0.2193
35,18/04/2023,0.2205
36,17/04/2023,0.2212
37,14/04/2023,0.2226
38,13/04/2023,0.223
39,12/04/2023,0.2233
40,11/04/2023,0.2239
41,10/04/2023,0.2236
42,07/04/2023,0.2228
43,06/04/2023,0.2223
44,05/04/2023,0.223
45,04/04/2023,0.2233
46,03/04/2023,0.2224
47,31/03/2023,0.22
48,30/03/2023,0.2207
49,29/03/2023,0.2194
50,28/03/2023,0.2173
51,27/03/2023,0.2158
52,24/03/2023,0.2166
53,23/03/2023,0.2182
54,22/03/2023,0.2177
55,21/03/2023,0.2171
56,20/03/2023,0.2168
57,17/03/2023,0.2193
58,16/03/2023,0.2167
59,15/03/2023,0.2195
60,14/03/2023,0.218
61,13/03/2023,0.2218
62,10/03/2023,0.2235
63,09/03/2023,0.2243
64,08/03/2023,0.2241
65,07/03/2023,0.2244
66,06/03/2023,0.2237
67,03/03/2023,0.2231
68,02/03/2023,0.2235
69,01/03/2023,0.2229
70,28/02/2023,0.2228
71,27/02/2023,0.2239
72,24/02/2023,0.2241
73,23/02/2023,0.2238
74,22/02/2023,0.2217
75,21/02/2023,0.2231
76,20/02/2023,0.2231
77,17/02/2023,0.2244
78,16/02/2023,0.2277
79,15/02/2023,0.2273
80,14/02/2023,0.2285
81,13/02/2023,0.227
82,10/02/2023,0.2278
83,09/02/2023,0.2263
84,08/02/2023,0.2271
85,07/02/2023,0.2272
86,03/02/2023,0.2291
87,02/02/2023,0.2286
88,31/01/2023,0.2268
89,30/01/2023,0.2275
90,27/01/2023,0.2269
91,26/01/2023,0.2261
