,NAV Date,NAV Price
0,15/04/2024,0.4019
1,12/04/2024,0.4018
2,09/04/2024,0.4016
3,08/04/2024,0.4016
4,05/04/2024,0.4015
5,04/04/2024,0.4014
6,03/04/2024,0.4014
7,02/04/2024,0.4013
8,01/04/2024,0.4013
9,29/03/2024,0.4012
10,27/03/2024,0.4011
11,26/03/2024,0.4011
12,25/03/2024,0.401
13,22/03/2024,0.4009
14,21/03/2024,0.4009
15,20/03/2024,0.4008
16,19/03/2024,0.4008
17,18/03/2024,0.4007
18,15/03/2024,0.4006
19,14/03/2024,0.4006
20,13/03/2024,0.4005
21,12/03/2024,0.4005
22,11/03/2024,0.4004
23,08/03/2024,0.4003
24,07/03/2024,0.4003
25,06/03/2024,0.4002
26,05/03/2024,0.4002
27,04/03/2024,0.4002
28,01/03/2024,0.4
29,29/02/2024,0.4
30,28/02/2024,0.4
31,27/02/2024,0.3999
32,26/02/2024,0.3999
33,23/02/2024,0.3998
34,22/02/2024,0.3997
35,21/02/2024,0.3997
36,20/02/2024,0.3996
37,19/02/2024,0.3996
38,16/02/2024,0.3995
39,15/02/2024,0.3995
40,14/02/2024,0.3994
41,13/02/2024,0.3994
42,09/02/2024,0.3992
43,08/02/2024,0.3992
44,07/02/2024,0.3992
45,06/02/2024,0.3992
46,05/02/2024,0.3992
47,02/02/2024,0.399
48,31/01/2024,0.399
49,30/01/2024,0.3989
50,29/01/2024,0.3989
51,26/01/2024,0.3988
52,24/01/2024,0.3987
53,23/01/2024,0.3987
54,22/01/2024,0.3986
55,19/01/2024,0.3985
56,18/01/2024,0.3985
57,17/01/2024,0.3984
58,16/01/2024,0.3984
59,15/01/2024,0.3983
60,12/01/2024,0.3982
61,11/01/2024,0.3982
62,10/01/2024,0.3981
63,09/01/2024,0.3981
64,08/01/2024,0.3981
65,05/01/2024,0.3979
66,04/01/2024,0.3979
67,03/01/2024,0.3979
68,02/01/2024,0.3978
69,29/12/2023,0.3976
70,28/12/2023,0.3976
71,27/12/2023,0.3976
72,26/12/2023,0.3975
73,22/12/2023,0.3974
74,21/12/2023,0.3973
75,20/12/2023,0.3973
76,19/12/2023,0.3972
77,18/12/2023,0.3972
78,15/12/2023,0.3971
79,14/12/2023,0.397
80,13/12/2023,0.397
81,12/12/2023,0.397
82,11/12/2023,0.3969
83,08/12/2023,0.3969
84,07/12/2023,0.3968
85,06/12/2023,0.3968
86,05/12/2023,0.3968
87,04/12/2023,0.3967
88,01/12/2023,0.3966
89,30/11/2023,0.3965
90,29/11/2023,0.3965
91,28/11/2023,0.3965
92,27/11/2023,0.3964
93,24/11/2023,0.3963
94,23/11/2023,0.3963
95,22/11/2023,0.3962
96,21/11/2023,0.3962
97,20/11/2023,0.3962
98,17/11/2023,0.3961
99,16/11/2023,0.396
0,15/11/2023,0.396
1,14/11/2023,0.3959
2,10/11/2023,0.3958
3,09/11/2023,0.3957
4,08/11/2023,0.3957
5,07/11/2023,0.3956
6,06/11/2023,0.3956
7,03/11/2023,0.3955
8,02/11/2023,0.3954
9,01/11/2023,0.3954
10,31/10/2023,0.3954
11,30/10/2023,0.3953
12,27/10/2023,0.3952
13,26/10/2023,0.3952
14,25/10/2023,0.3951
15,24/10/2023,0.3951
16,23/10/2023,0.395
17,20/10/2023,0.3949
18,19/10/2023,0.3949
19,18/10/2023,0.3948
20,17/10/2023,0.3948
21,16/10/2023,0.3947
22,13/10/2023,0.3946
23,12/10/2023,0.3946
24,11/10/2023,0.3945
25,10/10/2023,0.3945
26,09/10/2023,0.3945
27,06/10/2023,0.3943
28,05/10/2023,0.3943
29,04/10/2023,0.3943
30,03/10/2023,0.3942
31,02/10/2023,0.3942
32,29/09/2023,0.394
33,27/09/2023,0.394
34,26/09/2023,0.3939
35,25/09/2023,0.3939
36,22/09/2023,0.3937
37,21/09/2023,0.3937
38,20/09/2023,0.394
39,19/09/2023,0.3939
40,18/09/2023,0.3939
41,15/09/2023,0.3938
42,14/09/2023,0.3937
43,13/09/2023,0.3937
44,12/09/2023,0.3936
45,11/09/2023,0.3936
46,08/09/2023,0.3935
47,07/09/2023,0.3934
48,06/09/2023,0.3934
49,05/09/2023,0.3933
50,04/09/2023,0.3933
51,01/09/2023,0.3932
52,30/08/2023,0.3931
53,29/08/2023,0.3931
54,28/08/2023,0.393
55,25/08/2023,0.3929
56,24/08/2023,0.3929
57,23/08/2023,0.3928
58,22/08/2023,0.3928
59,18/08/2023,0.3927
60,17/08/2023,0.3926
61,16/08/2023,0.3926
62,15/08/2023,0.3925
63,14/08/2023,0.3925
64,11/08/2023,0.3924
65,10/08/2023,0.3923
66,09/08/2023,0.3923
67,08/08/2023,0.3923
68,07/08/2023,0.3922
69,04/08/2023,0.3921
70,03/08/2023,0.3921
71,02/08/2023,0.392
72,01/08/2023,0.392
73,31/07/2023,0.3919
74,28/07/2023,0.3918
75,27/07/2023,0.3918
76,26/07/2023,0.3917
77,25/07/2023,0.3917
78,24/07/2023,0.3917
79,21/07/2023,0.3916
80,20/07/2023,0.3915
81,18/07/2023,0.3914
82,17/07/2023,0.3914
83,14/07/2023,0.3913
84,13/07/2023,0.3912
85,12/07/2023,0.3912
86,11/07/2023,0.3912
87,10/07/2023,0.3911
88,07/07/2023,0.391
89,06/07/2023,0.391
90,05/07/2023,0.3909
91,04/07/2023,0.3909
92,03/07/2023,0.3908
93,30/06/2023,0.3907
94,28/06/2023,0.3906
95,27/06/2023,0.3906
96,26/06/2023,0.3906
97,23/06/2023,0.3904
98,22/06/2023,0.3904
99,21/06/2023,0.3904
0,20/06/2023,0.3903
1,19/06/2023,0.3903
2,16/06/2023,0.3902
3,15/06/2023,0.3901
4,14/06/2023,0.3901
5,13/06/2023,0.3901
6,12/06/2023,0.39
7,09/06/2023,0.3899
8,08/06/2023,0.3899
9,07/06/2023,0.3898
10,06/06/2023,0.3898
11,02/06/2023,0.3896
12,01/06/2023,0.3896
13,31/05/2023,0.3895
14,30/05/2023,0.3895
15,29/05/2023,0.3895
16,26/05/2023,0.3893
17,25/05/2023,0.3893
18,24/05/2023,0.3893
19,22/05/2023,0.3892
20,19/05/2023,0.3891
21,18/05/2023,0.389
22,17/05/2023,0.389
23,16/05/2023,0.3889
24,15/05/2023,0.3889
