,NAV Date,NAV Price
0,04/04/2024,0.2608
1,03/04/2024,0.2604
2,02/04/2024,0.2566
3,01/04/2024,0.2555
4,29/03/2024,0.256
5,27/03/2024,0.2574
6,26/03/2024,0.2578
7,25/03/2024,0.2548
8,22/03/2024,0.2528
9,21/03/2024,0.2531
10,20/03/2024,0.2507
11,19/03/2024,0.2488
12,18/03/2024,0.2484
13,15/03/2024,0.2464
14,14/03/2024,0.2458
15,13/03/2024,0.2452
16,12/03/2024,0.244
17,11/03/2024,0.2453
18,08/03/2024,0.2446
19,07/03/2024,0.241
20,06/03/2024,0.2404
21,05/03/2024,0.2412
22,04/03/2024,0.2435
23,01/03/2024,0.2431
24,29/02/2024,0.2418
25,28/02/2024,0.2444
26,27/02/2024,0.2468
27,26/02/2024,0.2436
28,23/02/2024,0.2419
29,22/02/2024,0.2411
30,21/02/2024,0.2403
31,20/02/2024,0.2416
32,19/02/2024,0.2373
33,16/02/2024,0.2368
34,15/02/2024,0.2362
35,14/02/2024,0.2343
36,13/02/2024,0.2354
37,09/02/2024,0.234
38,08/02/2024,0.2341
39,07/02/2024,0.2331
40,06/02/2024,0.2326
41,05/02/2024,0.232
42,02/02/2024,0.233
43,31/01/2024,0.235
44,30/01/2024,0.2342
45,29/01/2024,0.237
46,26/01/2024,0.2362
47,24/01/2024,0.2346
48,23/01/2024,0.2286
49,22/01/2024,0.2292
50,19/01/2024,0.2275
51,18/01/2024,0.2266
52,17/01/2024,0.2272
53,16/01/2024,0.2276
54,15/01/2024,0.2285
55,12/01/2024,0.2289
56,11/01/2024,0.2276
57,10/01/2024,0.2286
58,09/01/2024,0.2281
59,08/01/2024,0.2272
60,05/01/2024,0.2278
61,04/01/2024,0.2266
62,03/01/2024,0.2228
63,02/01/2024,0.2205
64,29/12/2023,0.22
65,28/12/2023,0.2209
66,27/12/2023,0.2205
67,26/12/2023,0.2204
68,22/12/2023,0.2204
69,21/12/2023,0.2203
70,20/12/2023,0.2194
71,19/12/2023,0.2197
72,18/12/2023,0.22
73,15/12/2023,0.2198
74,14/12/2023,0.218
75,13/12/2023,0.2164
76,12/12/2023,0.2152
77,11/12/2023,0.2157
78,08/12/2023,0.2148
79,07/12/2023,0.2136
80,06/12/2023,0.2161
81,05/12/2023,0.2159
82,04/12/2023,0.2159
83,01/12/2023,0.2163
84,30/11/2023,0.2169
85,29/11/2023,0.2155
86,28/11/2023,0.2151
87,27/11/2023,0.2162
88,24/11/2023,0.2159
89,23/11/2023,0.216
90,22/11/2023,0.2159
91,21/11/2023,0.2159
92,20/11/2023,0.2143
93,17/11/2023,0.2148
94,16/11/2023,0.2153
95,15/11/2023,0.2157
96,14/11/2023,0.2133
97,10/11/2023,0.213
98,09/11/2023,0.2136
99,08/11/2023,0.2118
0,07/11/2023,0.2114
1,06/11/2023,0.2116
2,03/11/2023,0.2108
3,02/11/2023,0.2094
4,01/11/2023,0.208
5,31/10/2023,0.2095
6,30/10/2023,0.2098
7,27/10/2023,0.2104
8,26/10/2023,0.2091
9,25/10/2023,0.2095
10,24/10/2023,0.2095
11,23/10/2023,0.2076
12,20/10/2023,0.2092
13,19/10/2023,0.2094
14,18/10/2023,0.2096
15,17/10/2023,0.2102
16,16/10/2023,0.2103
17,13/10/2023,0.2109
18,12/10/2023,0.2117
19,11/10/2023,0.2114
20,10/10/2023,0.2094
21,09/10/2023,0.2091
22,06/10/2023,0.2085
23,05/10/2023,0.2076
24,04/10/2023,0.2086
25,03/10/2023,0.2096
26,02/10/2023,0.2105
27,29/09/2023,0.2109
28,27/09/2023,0.2118
29,26/09/2023,0.2127
30,25/09/2023,0.2132
31,22/09/2023,0.214
32,21/09/2023,0.2133
33,20/09/2023,0.2137
34,19/09/2023,0.2139
35,18/09/2023,0.2129
36,15/09/2023,0.2139
37,14/09/2023,0.2117
38,13/09/2023,0.21
39,12/09/2023,0.2075
40,11/09/2023,0.2081
41,08/09/2023,0.2077
42,07/09/2023,0.2083
43,06/09/2023,0.2087
44,05/09/2023,0.2076
45,04/09/2023,0.2096
46,01/09/2023,0.2091
47,30/08/2023,0.2076
48,29/08/2023,0.2068
49,28/08/2023,0.2062
50,25/08/2023,0.2047
51,24/08/2023,0.2059
52,23/08/2023,0.2065
53,22/08/2023,0.2052
54,18/08/2023,0.2052
55,17/08/2023,0.2033
56,16/08/2023,0.2046
57,15/08/2023,0.2046
58,14/08/2023,0.2031
59,11/08/2023,0.2019
60,10/08/2023,0.2011
61,09/08/2023,0.201
62,08/08/2023,0.1995
63,07/08/2023,0.1989
64,04/08/2023,0.1994
65,03/08/2023,0.1994
66,02/08/2023,0.1995
67,01/08/2023,0.2013
68,31/07/2023,0.202
69,28/07/2023,0.2009
70,27/07/2023,0.2014
71,26/07/2023,0.2008
72,25/07/2023,0.2007
73,24/07/2023,0.1992
74,21/07/2023,0.1986
75,20/07/2023,0.1992
76,18/07/2023,0.2004
77,17/07/2023,0.2018
78,14/07/2023,0.2024
79,13/07/2023,0.2004
80,12/07/2023,0.1989
81,11/07/2023,0.1973
82,10/07/2023,0.1969
83,07/07/2023,0.1956
84,06/07/2023,0.1958
85,05/07/2023,0.1953
86,04/07/2023,0.1955
87,03/07/2023,0.1948
88,30/06/2023,0.193
89,28/06/2023,0.1939
90,27/06/2023,0.1944
91,26/06/2023,0.1936
92,23/06/2023,0.1933
93,22/06/2023,0.1941
94,21/06/2023,0.1933
95,20/06/2023,0.193
96,19/06/2023,0.1942
97,16/06/2023,0.1953
98,15/06/2023,0.2048
99,14/06/2023,0.206
0,13/06/2023,0.2043
1,12/06/2023,0.2034
2,09/06/2023,0.2029
3,08/06/2023,0.2016
4,07/06/2023,0.2025
5,06/06/2023,0.203
6,02/06/2023,0.2035
7,01/06/2023,0.2025
8,31/05/2023,0.2039
9,30/05/2023,0.204
10,29/05/2023,0.2049
11,26/05/2023,0.2031
12,25/05/2023,0.2034
13,24/05/2023,0.204
14,23/05/2023,0.204
15,22/05/2023,0.2053
16,19/05/2023,0.2055
17,18/05/2023,0.2074
18,17/05/2023,0.2069
19,16/05/2023,0.2054
20,15/05/2023,0.2048
21,12/05/2023,0.2061
22,11/05/2023,0.2057
23,10/05/2023,0.2062
24,09/05/2023,0.2065
25,08/05/2023,0.2082
26,05/05/2023,0.2077
27,03/05/2023,0.2081
28,02/05/2023,0.2097
29,28/04/2023,0.2095
30,27/04/2023,0.2097
31,26/04/2023,0.2099
32,25/04/2023,0.2101
33,20/04/2023,0.2105
34,19/04/2023,0.2109
35,18/04/2023,0.212
36,17/04/2023,0.2128
