,NAV Date,NAV Price
0,04/04/2024,1.0877
1,03/04/2024,1.0856
2,02/04/2024,1.0719
3,01/04/2024,1.0656
4,29/03/2024,1.0653
5,27/03/2024,1.0697
6,26/03/2024,1.0719
7,25/03/2024,1.0626
8,22/03/2024,1.0549
9,21/03/2024,1.052
10,20/03/2024,1.0455
11,19/03/2024,1.0415
12,18/03/2024,1.0369
13,15/03/2024,1.0312
14,14/03/2024,1.0274
15,13/03/2024,1.0233
16,12/03/2024,1.0181
17,11/03/2024,1.0242
18,08/03/2024,1.0215
19,07/03/2024,1.0081
20,06/03/2024,1.0043
21,05/03/2024,1.0085
22,04/03/2024,1.0147
23,01/03/2024,1.0154
24,29/02/2024,1.0124
25,28/02/2024,1.026
26,27/02/2024,1.0339
27,26/02/2024,1.0197
28,23/02/2024,1.0096
29,22/02/2024,1.0065
30,21/02/2024,1.0016
31,20/02/2024,1.0059
32,19/02/2024,0.9979
33,16/02/2024,0.9933
34,15/02/2024,0.9933
35,14/02/2024,0.9857
36,13/02/2024,0.9905
37,09/02/2024,0.982
38,08/02/2024,0.9812
39,07/02/2024,0.9772
40,06/02/2024,0.9764
41,05/02/2024,0.9742
42,02/02/2024,0.9763
43,31/01/2024,0.9817
44,30/01/2024,0.9793
45,29/01/2024,0.9879
46,26/01/2024,0.985
47,24/01/2024,0.9789
48,23/01/2024,0.9543
49,22/01/2024,0.9562
50,19/01/2024,0.9517
51,18/01/2024,0.9438
52,17/01/2024,0.9445
53,16/01/2024,0.9433
54,15/01/2024,0.9479
55,12/01/2024,0.9498
56,11/01/2024,0.9449
57,10/01/2024,0.9463
58,09/01/2024,0.9453
59,08/01/2024,0.9411
60,05/01/2024,0.9403
61,04/01/2024,0.9375
62,03/01/2024,0.9188
63,02/01/2024,0.9074
64,29/12/2023,0.9063
65,28/12/2023,0.91
66,27/12/2023,0.9108
67,26/12/2023,0.9109
68,22/12/2023,0.9069
69,21/12/2023,0.9034
70,20/12/2023,0.905
71,19/12/2023,0.9089
72,18/12/2023,0.9113
73,15/12/2023,0.91
74,14/12/2023,0.9038
75,13/12/2023,0.8975
76,12/12/2023,0.8906
77,11/12/2023,0.8916
78,08/12/2023,0.889
79,07/12/2023,0.8864
80,06/12/2023,0.8944
81,05/12/2023,0.8953
82,04/12/2023,0.8899
83,01/12/2023,0.8919
84,30/11/2023,0.8906
85,29/11/2023,0.8887
86,28/11/2023,0.8879
87,27/11/2023,0.8889
88,24/11/2023,0.8866
89,23/11/2023,0.8893
90,22/11/2023,0.8856
91,21/11/2023,0.8837
92,20/11/2023,0.8789
93,17/11/2023,0.8782
94,16/11/2023,0.8799
95,15/11/2023,0.8818
96,14/11/2023,0.8747
97,10/11/2023,0.8725
98,09/11/2023,0.876
99,08/11/2023,0.8665
0,07/11/2023,0.8645
1,06/11/2023,0.8657
2,03/11/2023,0.8623
3,02/11/2023,0.8581
4,01/11/2023,0.8513
5,31/10/2023,0.857
6,30/10/2023,0.8574
7,27/10/2023,0.8584
8,26/10/2023,0.8547
9,25/10/2023,0.8541
10,24/10/2023,0.8516
11,23/10/2023,0.8432
12,20/10/2023,0.8521
13,19/10/2023,0.8553
14,18/10/2023,0.8591
15,17/10/2023,0.8619
16,16/10/2023,0.8618
17,13/10/2023,0.8675
18,12/10/2023,0.8711
19,11/10/2023,0.8707
20,10/10/2023,0.8633
21,09/10/2023,0.863
22,06/10/2023,0.8596
23,05/10/2023,0.8556
24,04/10/2023,0.8592
25,03/10/2023,0.8633
26,02/10/2023,0.8676
27,29/09/2023,0.8694
28,27/09/2023,0.8723
29,26/09/2023,0.8778
30,25/09/2023,0.8766
31,22/09/2023,0.8794
32,21/09/2023,0.878
33,20/09/2023,0.8795
34,19/09/2023,0.8796
35,18/09/2023,0.879
36,15/09/2023,0.8828
37,14/09/2023,0.877
38,13/09/2023,0.8699
39,12/09/2023,0.861
40,11/09/2023,0.8637
41,08/09/2023,0.861
42,07/09/2023,0.8615
43,06/09/2023,0.862
44,05/09/2023,0.8597
45,04/09/2023,0.8666
46,01/09/2023,0.8652
47,30/08/2023,0.8591
48,29/08/2023,0.8528
49,28/08/2023,0.8534
50,25/08/2023,0.8464
51,24/08/2023,0.8503
52,23/08/2023,0.8496
53,22/08/2023,0.8427
54,18/08/2023,0.8395
55,17/08/2023,0.8311
56,16/08/2023,0.8342
57,15/08/2023,0.8336
58,14/08/2023,0.8275
59,11/08/2023,0.8218
60,10/08/2023,0.8205
61,09/08/2023,0.8203
62,08/08/2023,0.8163
63,07/08/2023,0.8158
64,04/08/2023,0.8178
65,03/08/2023,0.8187
66,02/08/2023,0.8186
67,01/08/2023,0.8216
68,31/07/2023,0.8241
69,28/07/2023,0.8219
70,27/07/2023,0.824
71,26/07/2023,0.8214
72,25/07/2023,0.8236
73,24/07/2023,0.8186
74,21/07/2023,0.814
75,20/07/2023,0.8161
76,18/07/2023,0.8198
77,17/07/2023,0.8257
78,14/07/2023,0.8294
79,13/07/2023,0.8251
80,12/07/2023,0.8217
81,11/07/2023,0.8165
82,10/07/2023,0.8135
83,07/07/2023,0.8105
84,06/07/2023,0.811
85,05/07/2023,0.8098
86,04/07/2023,0.8097
87,03/07/2023,0.8073
88,30/06/2023,0.8024
89,28/06/2023,0.8024
90,27/06/2023,0.803
91,26/06/2023,0.798
92,23/06/2023,0.7981
93,22/06/2023,0.8007
94,21/06/2023,0.7976
95,20/06/2023,0.7962
96,19/06/2023,0.8
97,16/06/2023,0.8043
