,NAV Date,NAV Price
0,03/04/2024,1.1024
1,02/04/2024,1.1011
2,01/04/2024,1.0921
3,29/03/2024,1.0949
4,27/03/2024,1.0878
5,26/03/2024,1.0854
6,25/03/2024,1.087
7,22/03/2024,1.0892
8,21/03/2024,1.0937
9,20/03/2024,1.0844
10,19/03/2024,1.0846
11,18/03/2024,1.0822
12,15/03/2024,1.082
13,14/03/2024,1.077
14,13/03/2024,1.0752
15,12/03/2024,1.0742
16,11/03/2024,1.0751
17,08/03/2024,1.0719
18,07/03/2024,1.0682
19,06/03/2024,1.0645
20,05/03/2024,1.0555
21,04/03/2024,1.0585
22,01/03/2024,1.0494
23,29/02/2024,1.0433
24,28/02/2024,1.0468
25,27/02/2024,1.0574
26,26/02/2024,1.0603
27,23/02/2024,1.0646
28,22/02/2024,1.0666
29,21/02/2024,1.0595
30,20/02/2024,1.0597
31,19/02/2024,1.057
32,16/02/2024,1.0536
33,15/02/2024,1.0522
34,14/02/2024,1.0444
35,13/02/2024,1.0437
36,09/02/2024,1.041
37,08/02/2024,1.0393
38,07/02/2024,1.0354
39,06/02/2024,1.0363
40,05/02/2024,1.0285
41,02/02/2024,1.0283
42,31/01/2024,1.0305
43,30/01/2024,1.0358
44,29/01/2024,1.0397
45,26/01/2024,1.0337
46,24/01/2024,1.0312
47,23/01/2024,1.0225
48,22/01/2024,1.0208
49,19/01/2024,1.021
50,18/01/2024,1.0152
51,17/01/2024,1.0169
52,16/01/2024,1.0231
53,15/01/2024,1.0275
54,12/01/2024,1.0218
55,11/01/2024,1.0171
56,10/01/2024,1.0157
57,09/01/2024,1.0177
58,08/01/2024,1.0168
59,05/01/2024,1.0174
60,04/01/2024,1.0102
61,03/01/2024,1.0033
62,02/01/2024,1.0044
63,29/12/2023,1.003
64,28/12/2023,1.0045
65,27/12/2023,1.0012
66,26/12/2023,0.9978
67,22/12/2023,0.9978
68,21/12/2023,0.9962
69,20/12/2023,0.9982
70,19/12/2023,0.9978
71,18/12/2023,0.9964
72,15/12/2023,0.9971
73,14/12/2023,0.9955
74,13/12/2023,0.9897
75,12/12/2023,0.9858
