,NAV Date,NAV Price
0,12/04/2024,0.2326
1,09/04/2024,0.2306
2,08/04/2024,0.2291
3,05/04/2024,0.2277
4,04/04/2024,0.2282
5,03/04/2024,0.2275
6,02/04/2024,0.225
7,01/04/2024,0.2244
8,29/03/2024,0.2243
9,27/03/2024,0.2253
10,26/03/2024,0.2244
11,25/03/2024,0.2225
12,22/03/2024,0.2198
13,21/03/2024,0.2195
14,20/03/2024,0.2172
15,19/03/2024,0.2166
16,18/03/2024,0.2168
17,15/03/2024,0.2164
18,14/03/2024,0.2144
19,13/03/2024,0.2123
20,12/03/2024,0.2117
21,11/03/2024,0.2124
22,08/03/2024,0.2116
23,07/03/2024,0.2087
24,06/03/2024,0.208
25,05/03/2024,0.2076
26,04/03/2024,0.2068
27,01/03/2024,0.2138
28,29/02/2024,0.2129
29,28/02/2024,0.2154
30,27/02/2024,0.2163
31,26/02/2024,0.2156
32,23/02/2024,0.2131
33,22/02/2024,0.2123
34,21/02/2024,0.2114
35,20/02/2024,0.2097
36,19/02/2024,0.2079
37,16/02/2024,0.2063
38,15/02/2024,0.2061
39,14/02/2024,0.2045
40,13/02/2024,0.2053
41,09/02/2024,0.2022
42,08/02/2024,0.202
43,07/02/2024,0.2009
44,06/02/2024,0.2009
45,05/02/2024,0.1996
46,02/02/2024,0.1998
47,31/01/2024,0.2006
48,30/01/2024,0.2007
49,29/01/2024,0.2029
50,26/01/2024,0.201
51,24/01/2024,0.2005
52,23/01/2024,0.1955
53,22/01/2024,0.1949
54,19/01/2024,0.1951
55,18/01/2024,0.1896
56,17/01/2024,0.1892
57,16/01/2024,0.1888
58,15/01/2024,0.1895
59,12/01/2024,0.19
60,11/01/2024,0.1901
61,10/01/2024,0.1915
62,09/01/2024,0.1909
63,08/01/2024,0.1905
64,05/01/2024,0.1904
65,04/01/2024,0.1903
66,03/01/2024,0.187
67,02/01/2024,0.1856
68,29/12/2023,0.1848
69,28/12/2023,0.1858
70,27/12/2023,0.1839
71,26/12/2023,0.1836
72,22/12/2023,0.183
73,21/12/2023,0.1823
74,20/12/2023,0.1828
75,19/12/2023,0.1832
76,18/12/2023,0.1833
77,15/12/2023,0.1845
78,14/12/2023,0.1832
79,13/12/2023,0.1828
80,12/12/2023,0.1817
81,11/12/2023,0.1802
82,08/12/2023,0.1821
83,07/12/2023,0.1814
84,06/12/2023,0.1809
85,05/12/2023,0.181
86,04/12/2023,0.1807
87,01/12/2023,0.1811
88,30/11/2023,0.1814
89,29/11/2023,0.1783
90,28/11/2023,0.1787
91,27/11/2023,0.1785
92,24/11/2023,0.1782
93,23/11/2023,0.1792
94,22/11/2023,0.1776
95,21/11/2023,0.1773
96,20/11/2023,0.1767
97,17/11/2023,0.1766
98,16/11/2023,0.1778
99,15/11/2023,0.1781
0,14/11/2023,0.1779
1,10/11/2023,0.1772
2,09/11/2023,0.1776
3,08/11/2023,0.1769
4,07/11/2023,0.1769
5,06/11/2023,0.1775
6,03/11/2023,0.1761
7,02/11/2023,0.1753
8,01/11/2023,0.1746
9,31/10/2023,0.1763
10,30/10/2023,0.177
11,27/10/2023,0.1769
12,26/10/2023,0.1763
13,25/10/2023,0.1762
14,24/10/2023,0.1756
15,23/10/2023,0.1746
16,20/10/2023,0.1753
17,19/10/2023,0.1758
18,18/10/2023,0.1768
19,17/10/2023,0.1772
20,16/10/2023,0.177
21,13/10/2023,0.1777
22,12/10/2023,0.1788
23,11/10/2023,0.1788
24,10/10/2023,0.1779
25,09/10/2023,0.1774
26,06/10/2023,0.1773
27,05/10/2023,0.1774
28,04/10/2023,0.1773
29,03/10/2023,0.1777
30,02/10/2023,0.1782
31,29/09/2023,0.1784
32,27/09/2023,0.1792
33,26/09/2023,0.1799
34,25/09/2023,0.1799
35,22/09/2023,0.1805
36,21/09/2023,0.1798
37,20/09/2023,0.1804
38,19/09/2023,0.1804
39,18/09/2023,0.1804
40,15/09/2023,0.1814
41,14/09/2023,0.1804
42,13/09/2023,0.1791
43,12/09/2023,0.1778
44,11/09/2023,0.1781
45,08/09/2023,0.1777
46,07/09/2023,0.1777
47,06/09/2023,0.1785
48,05/09/2023,0.1782
49,04/09/2023,0.1791
50,01/09/2023,0.1785
