,NAV Date,NAV Price
0,12/04/2024,0.266
1,09/04/2024,0.2641
2,08/04/2024,0.2621
3,05/04/2024,0.2595
4,04/04/2024,0.2592
5,03/04/2024,0.2582
6,02/04/2024,0.2555
7,01/04/2024,0.255
8,29/03/2024,0.2554
9,27/03/2024,0.2557
10,26/03/2024,0.255
11,25/03/2024,0.2532
12,22/03/2024,0.2509
13,21/03/2024,0.2499
14,20/03/2024,0.2477
15,19/03/2024,0.2467
16,18/03/2024,0.246
17,15/03/2024,0.2457
18,14/03/2024,0.2439
19,13/03/2024,0.2424
20,12/03/2024,0.2416
21,11/03/2024,0.2421
22,08/03/2024,0.2404
23,07/03/2024,0.2375
24,06/03/2024,0.2375
25,05/03/2024,0.2376
26,04/03/2024,0.2387
27,01/03/2024,0.2404
28,29/02/2024,0.24
29,28/02/2024,0.2427
30,27/02/2024,0.2439
31,26/02/2024,0.2414
32,23/02/2024,0.2387
33,22/02/2024,0.2376
34,21/02/2024,0.2363
35,20/02/2024,0.237
36,19/02/2024,0.2359
37,16/02/2024,0.2343
38,15/02/2024,0.2343
39,14/02/2024,0.2329
40,13/02/2024,0.2334
41,09/02/2024,0.2311
42,08/02/2024,0.231
43,07/02/2024,0.2305
44,06/02/2024,0.2309
45,05/02/2024,0.2299
46,02/02/2024,0.2301
47,31/01/2024,0.23
48,30/01/2024,0.2293
49,29/01/2024,0.2314
50,26/01/2024,0.2302
51,24/01/2024,0.229
52,23/01/2024,0.2231
53,22/01/2024,0.223
54,19/01/2024,0.2225
55,18/01/2024,0.2193
56,17/01/2024,0.2202
57,16/01/2024,0.2203
58,15/01/2024,0.221
59,12/01/2024,0.2213
60,11/01/2024,0.2203
61,10/01/2024,0.2214
62,09/01/2024,0.221
63,08/01/2024,0.22
64,05/01/2024,0.2201
65,04/01/2024,0.2191
66,03/01/2024,0.2159
67,02/01/2024,0.2137
68,29/12/2023,0.2131
69,28/12/2023,0.2141
70,27/12/2023,0.213
71,26/12/2023,0.2126
72,22/12/2023,0.2121
73,21/12/2023,0.2114
74,20/12/2023,0.2115
75,19/12/2023,0.2125
76,18/12/2023,0.2135
77,15/12/2023,0.2133
78,14/12/2023,0.2119
79,13/12/2023,0.2104
80,12/12/2023,0.209
81,11/12/2023,0.2082
82,08/12/2023,0.2086
83,07/12/2023,0.2076
84,06/12/2023,0.2084
85,05/12/2023,0.2087
86,04/12/2023,0.2076
87,01/12/2023,0.2081
88,30/11/2023,0.2079
89,29/11/2023,0.2076
90,28/11/2023,0.2075
91,27/11/2023,0.2081
92,24/11/2023,0.207
93,23/11/2023,0.2076
94,22/11/2023,0.2066
95,21/11/2023,0.206
96,20/11/2023,0.2049
97,17/11/2023,0.2045
98,16/11/2023,0.2059
99,15/11/2023,0.2065
0,14/11/2023,0.2048
1,10/11/2023,0.2046
2,09/11/2023,0.2055
3,08/11/2023,0.2037
4,07/11/2023,0.2039
5,06/11/2023,0.2048
6,03/11/2023,0.2036
7,02/11/2023,0.2029
8,01/11/2023,0.2011
9,31/10/2023,0.2025
10,30/10/2023,0.2034
11,27/10/2023,0.2033
12,26/10/2023,0.2024
