,NAV Date,NAV Price
0,04/04/2024,0.3028
1,03/04/2024,0.3019
2,02/04/2024,0.299
3,01/04/2024,0.2991
4,29/03/2024,0.2994
5,27/03/2024,0.301
6,26/03/2024,0.3003
7,25/03/2024,0.2976
8,22/03/2024,0.2942
9,21/03/2024,0.2932
10,20/03/2024,0.2911
11,19/03/2024,0.2904
12,18/03/2024,0.2897
13,15/03/2024,0.2891
14,14/03/2024,0.2871
15,13/03/2024,0.2848
16,12/03/2024,0.2839
17,11/03/2024,0.2854
18,08/03/2024,0.284
19,07/03/2024,0.2792
20,06/03/2024,0.2787
21,05/03/2024,0.2792
22,04/03/2024,0.2791
23,01/03/2024,0.2845
24,29/02/2024,0.2841
25,28/02/2024,0.2871
26,27/02/2024,0.2886
27,26/02/2024,0.2856
28,23/02/2024,0.2815
29,22/02/2024,0.2807
30,21/02/2024,0.2797
31,20/02/2024,0.2795
32,19/02/2024,0.2788
33,16/02/2024,0.2766
34,15/02/2024,0.277
35,14/02/2024,0.2746
36,13/02/2024,0.2753
37,09/02/2024,0.273
38,08/02/2024,0.2724
39,07/02/2024,0.2712
40,06/02/2024,0.2714
41,05/02/2024,0.271
42,02/02/2024,0.2709
43,31/01/2024,0.2717
44,30/01/2024,0.2708
45,29/01/2024,0.2731
46,26/01/2024,0.2711
47,24/01/2024,0.2699
48,23/01/2024,0.2643
49,22/01/2024,0.2641
50,19/01/2024,0.2636
51,18/01/2024,0.2582
52,17/01/2024,0.2586
53,16/01/2024,0.2587
54,15/01/2024,0.2599
55,12/01/2024,0.2606
56,11/01/2024,0.2598
57,10/01/2024,0.262
58,09/01/2024,0.2614
59,08/01/2024,0.2607
60,05/01/2024,0.2608
61,04/01/2024,0.2591
62,03/01/2024,0.2535
63,02/01/2024,0.2502
64,29/12/2023,0.2498
65,28/12/2023,0.2508
66,27/12/2023,0.2491
67,26/12/2023,0.2491
68,22/12/2023,0.2486
69,21/12/2023,0.2476
70,20/12/2023,0.248
71,19/12/2023,0.249
72,18/12/2023,0.2497
73,15/12/2023,0.2509
74,14/12/2023,0.2489
75,13/12/2023,0.2477
76,12/12/2023,0.246
77,11/12/2023,0.2443
78,08/12/2023,0.2464
79,07/12/2023,0.2452
80,06/12/2023,0.2451
81,05/12/2023,0.2455
82,04/12/2023,0.2446
83,01/12/2023,0.2447
84,30/11/2023,0.2447
85,29/11/2023,0.2427
86,28/11/2023,0.2424
87,27/11/2023,0.2415
88,24/11/2023,0.2409
89,23/11/2023,0.2415
90,22/11/2023,0.2401
91,21/11/2023,0.2391
92,20/11/2023,0.2378
93,17/11/2023,0.2377
94,16/11/2023,0.2378
95,15/11/2023,0.2384
96,14/11/2023,0.2383
97,10/11/2023,0.2383
98,09/11/2023,0.239
