,SecId,Name,CategoryName
0,F00001443C,A-DALI Equity,Equity - Malaysia Large-cap (Shariah)
1,F00001443D,A-Dana Balanced,Blended - Balanced (Shariah)
2,F00001443E,A-Dana Equity,Equity - Malaysia Large-cap (Shariah)
3,F00001443F,A-Dana Income,Bonds - Malaysia (Shariah)
4,F00000PLRP,Aberdeen Std Islmc World Eq A,Equity - Global
5,F00000ONU5,Advantage Asia Pacific ex Japan Div,Equity - Asia Pacific ex-Japan
6,F00000W8R1,Advantage Glbl Eq Volatility Focus AUD H,Equity - Global
7,F00000W8R0,Advantage Glbl Eq Volatility Focus MYR H,Equity - Global
8,F00000ZV4P,Advantage Glb High Income Bond RM-Hdg,Bonds - Global
9,F00000ZFUZ,Advantage Glb High Income Bond USD,Bonds - Global
10,F000010CHH,AHAM Absolute Return II-AUD,Blended - Flexible
11,F000010CHI,AHAM Absolute Return II-GBP,Blended - Flexible
12,F000001A0J,AHAM Absolute Return II-MYR,Blended - Flexible
13,F000010CHJ,AHAM Absolute Return II-SGD,Blended - Flexible
14,F000010CHK,AHAM Absolute Return II-USD,Blended - Flexible
15,F000013F34,AHAM Absolute Return III,Blended - Flexible
16,F00000YDBT,AHAM Aiiman Asia(Ex Jpn)Gr MYR,Equity - Asia Pacific ex-Japan (Shariah)
17,F000000AIY,AHAM Aiiman Bal,Blended - Balanced (Shariah)
18,F00001ELZJ,AHAM Aiiman Enhncd i-Profit A Inc,Money Market - Malaysia (Shariah)
19,F00001ELZK,AHAM Aiiman Enhncd i-Profit B Acc,Money Market - Malaysia (Shariah)
20,F000000AJP,AHAM Aiiman ESG Income Plus,Bonds - Malaysia (Shariah)
21,F0000182RH,AHAM Aiiman Glb Mlt Thmtc AUD Hdg,Equity - Global
22,F0000182RK,AHAM Aiiman Glb Mlt Thmtc MYR Hdg,Equity - Global
23,F0000182RN,AHAM Aiiman Glb Mlt Thmtc SGD Hdg,Equity - Global
24,F0000182RP,AHAM Aiiman Glb Mlt Thmtc USD,Equity - Global
25,F00000YDBU,AHAM Aiiman Glbl Sukuk MYR,Bonds - Global
26,F000011D0D,AHAM Aiiman Glbl Sukuk MYR Hdg,Bonds - Global
27,F00000YDBV,AHAM Aiiman Glbl Sukuk USD,Bonds - Global
28,F00001DY2Q,AHAM Aiiman Glb Thm Mxd Ast AUDH,Blended - Balanced (Shariah)
29,F00001DY2S,AHAM Aiiman Glb Thm Mxd Ast MYRH,Blended - Balanced (Shariah)
30,F00001DY2P,AHAM Aiiman Glb Thm Mxd Ast SGDH,Blended - Balanced (Shariah)
31,F00001DY2R,AHAM Aiiman Gb Thm Mx Ast USD Ins,Blended - Balanced (Shariah)
32,F00001DY2O,AHAM Aiiman Glb Thmtc Mxd Ast USD,Blended - Balanced (Shariah)
33,F000000AJQ,AHAM Aiiman Growth,Equity - Malaysia Mid/Small-cap (Shariah)
34,F00001F8KC,AHAM Aiiman Income MYR Inc,Money Market - Malaysia (Shariah)
35,F000002KYN,AHAM Aiiman Money Market,Money Market - Malaysia (Shariah)
36,F0000026JU,AHAM Aiiman Quantum,Equity - Malaysia Mid/Small-cap (Shariah)
37,F00000PR17,AHAM Aiiman Select Income,Blended - Conservative
38,F00000VCKU,AHAM ASEAN Flexi,Blended - Other
39,F000000AFN,AHAM Bond,Bonds - Malaysia
40,F0000163G2,AHAM EduGrowth & Income Fd,Blended - Balanced
41,F000000AJR,AHAM Enhanced Deposit Fund,Money Market - Malaysia
42,F000000AFO,AHAM Equity,Equity - Malaysia Large-cap
43,F000016H4C,AHAM ESG SGD Bond MYR,Bonds - Other
44,F000016H4B,AHAM ESG SGD Bond SGD,Bonds - Other
45,F00001ADDT,AHAM Flexi 6,Blended - Flexible
46,F0000183PD,AHAM Flexi Fund 7 MYR,Blended - Flexible
47,F0000183PE,AHAM Flexi Fund 7 SGD,Blended - Flexible
48,F0000183PF,AHAM Flexi Fund 7 USD,Blended - Flexible
49,F00001DH4S,AHAM Flexi 8 MYR,Blended - Flexible
0,F00001DH4T,AHAM Flexi 8 SGD,Blended - Flexible
1,F00001DH4R,AHAM Flexi 8 USD,Blended - Flexible
2,F00001ADDW,AHAM Flexi III MYR,Blended - Flexible
3,F00001ERPR,AHAM Flexi III USD,Blended - Flexible
4,F00000MS1S,AHAM Growth,Equity - Malaysia Large-cap
5,F000014I2H,AHAM Hard Ccis Fixed Inc USD,Bonds - Global
6,F000013Y1G,AHAM Income Extra,Bonds - Malaysia
7,F00001DH9D,AHAM Income 6,Bonds - Malaysia
8,F00001DPG1,AHAM Income Fund 7 MYR Cl,Bonds - Malaysia
9,F000014XBM,AHAM INR Flexi,Blended - Flexible
10,F00001E7OY,AHAM Malaysia Government Bond MYR,Bonds - Malaysia
11,F0000183PG,AHAM Multi-Asset Fund 2 MYR,Blended - Flexible
12,F0000183PH,AHAM Multi-Asset Fund 2 SGD,Blended - Flexible
13,F0000183PI,AHAM Multi-Asset Fund 2 USD,Blended - Flexible
14,F000014MC2,AHAM Multi-Asset 3 MYR,Blended - Flexible
15,F000014MC3,AHAM Multi-Asset 3 USD,Blended - Flexible
16,F000016MJI,AHAM Multi-Asset Fund 5,Blended - Flexible
17,F000015ZOC,AHAM New China Tracker,Equity - Greater China
18,F000014MGI,AHAM Perwira,Blended - Flexible
19,F0000040IN,AHAM Principled Growth,Equity - Malaysia Large-cap
20,F0000173BA,AHAM RMB Bond MYR,Bonds - Other
21,F0000173BB,AHAM RMB Bond RMB,Bonds - Other
22,F000000AJS,AHAM Select Asia (ex Japan) Opp,Equity - Asia Pacific ex-Japan
23,F000011091,AHAM Select Asia (ex Japan) Opp AUD,Equity - Asia Pacific ex-Japan
24,F000011092,AHAM Select Asia (ex Japan) Opp GBP,Equity - Asia Pacific ex-Japan
25,F000011093,AHAM Select Asia (ex Japan) Opp SGD,Equity - Asia Pacific ex-Japan
26,F000011094,AHAM Select Asia (ex Japan) Opp USD,Equity - Asia Pacific ex-Japan
27,F000000AK0,AHAM Select Asia (ex Jpn) Qtm Fd,Equity - Asia Pacific ex-Japan
28,F000011095,AHAM Select Asia (ex Jpn) Qtm AUD,Equity - Asia Pacific ex-Japan
29,F000011096,AHAM Select Asia (ex Jpn) Qtm GBP,Equity - Asia Pacific ex-Japan
30,F000011097,AHAM Select Asia (ex Jpn) Qtm SGD,Equity - Asia Pacific ex-Japan
31,F000011098,AHAM Select Asia (ex Jpn) Qtm USD,Equity - Asia Pacific ex-Japan
32,F00000V5SN,AHAM Select ASPC ex Jpn Bal,Blended - Balanced
33,F000011D00,AHAM Select ASPC ex Jpn Bal AUD H,Blended - Balanced
34,F000011CZZ,AHAM Select ASPC ex Jpn Bal EUR H,Blended - Balanced
35,F000011CZY,AHAM Select ASPC ex Jpn Bal RMB H,Blended - Balanced
36,F000011CZX,AHAM Select ASPC ex Jpn Bal USD H,Blended - Balanced
37,F00000V5SO,AHAM Select Asia Pacific (ex Jpn) Div,Equity - Asia Pacific ex-Japan
38,F000011VO8,AHAM Select Asia Pacific (ex Jpn) DivAUD,Equity - Asia Pacific ex-Japan
39,F000011VO6,AHAM Select Asia Pacific (ex Jpn) DivEUR,Equity - Asia Pacific ex-Japan
40,F000011VOB,AHAM Select Asia Pacific (ex Jpn) DivGBP,Equity - Asia Pacific ex-Japan
41,F000011VO9,AHAM Select Asia Pacific (ex Jpn) DivRMB,Equity - Asia Pacific ex-Japan
42,F000011VOA,AHAM Select Asia Pacific (ex Jpn) DivSGD,Equity - Asia Pacific ex-Japan
43,F000011VO7,AHAM Select Asia Pacific (ex Jpn) DivUSD,Equity - Asia Pacific ex-Japan
